duration,pdays,emp.var.rate,euribor3m,nr.employed,y_n
90.0,999.0,1.1,4.857,5191.0,0.0
314.0,999.0,1.4,4.961,5228.1,0.0
175.0,999.0,1.4,4.963,5228.1,0.0
167.0,999.0,-1.8,1.281,5099.1,0.0
193.0,999.0,1.4,4.961,5228.1,0.0
644.0,999.0,1.4,4.958,5228.1,1.0
72.0,999.0,-1.8,1.405,5099.1,0.0
61.0,999.0,-1.8,1.299,5099.1,0.0
144.0,999.0,1.4,4.97,5228.1,0.0
144.0,999.0,1.4,4.963,5228.1,0.0
8.0,999.0,-0.1,4.021,5195.8,0.0
67.0,999.0,1.1,4.856,5191.0,0.0
82.0,999.0,1.4,4.959,5228.1,0.0
176.0,999.0,1.4,4.967,5228.1,0.0
644.0,19.0,-1.1,1.04,4963.6,1.0
644.0,999.0,-1.8,1.291,5099.1,1.0
44.0,999.0,-0.1,4.733,5195.8,0.0
60.0,999.0,1.4,4.967,5228.1,0.0
633.0,999.0,1.4,4.962,5228.1,0.0
644.0,999.0,1.4,4.962,5228.1,1.0
644.0,999.0,-1.8,1.405,5099.1,0.0
165.0,999.0,-1.8,1.25,5099.1,0.0
332.0,999.0,1.1,4.857,5191.0,0.0
64.0,999.0,-2.9,0.829,5076.2,0.0
362.0,999.0,1.4,4.962,5228.1,0.0
58.0,999.0,-1.7,0.727,4991.6,0.0
113.0,999.0,1.4,4.964,5228.1,0.0
95.0,999.0,-1.8,1.266,5099.1,0.0
188.0,999.0,-1.8,1.344,5099.1,0.0
396.0,999.0,-1.8,1.405,5099.1,1.0
384.0,999.0,1.4,4.864,5228.1,0.0
274.0,12.0,-1.7,0.767,4991.6,1.0
369.0,999.0,-1.8,1.453,5099.1,0.0
147.0,999.0,1.4,4.97,5228.1,0.0
207.0,999.0,1.1,4.857,5191.0,0.0
86.0,999.0,1.1,4.858,5191.0,0.0
122.0,999.0,1.4,4.961,5228.1,0.0
163.0,999.0,1.4,4.964,5228.1,0.0
333.0,999.0,-2.9,1.26,5076.2,0.0
157.0,999.0,-1.7,0.899,4991.6,0.0
301.0,999.0,1.4,4.962,5228.1,0.0
644.0,6.0,-1.7,0.702,4991.6,0.0
83.0,999.0,1.4,4.961,5228.1,0.0
196.0,999.0,-0.1,4.12,5195.8,0.0
291.0,999.0,1.1,4.86,5191.0,0.0
510.0,999.0,1.1,4.864,5191.0,0.0
235.0,999.0,1.4,4.865,5228.1,0.0
446.0,999.0,1.4,4.963,5228.1,0.0
87.0,999.0,1.4,4.96,5228.1,0.0
644.0,999.0,1.1,4.859,5191.0,0.0
160.0,999.0,1.4,4.965,5228.1,0.0
165.0,999.0,1.4,4.963,5228.1,0.0
58.0,999.0,1.4,4.962,5228.1,0.0
58.0,999.0,1.1,4.864,5191.0,0.0
140.0,999.0,1.4,4.965,5228.1,0.0
644.0,999.0,1.4,4.963,5228.1,1.0
105.0,999.0,-0.1,4.076,5195.8,0.0
240.0,999.0,1.1,4.857,5191.0,0.0
252.0,999.0,1.4,4.965,5228.1,0.0
149.0,999.0,1.1,4.857,5191.0,0.0
124.0,999.0,1.1,4.858,5191.0,0.0
122.0,999.0,1.4,4.957,5228.1,0.0
461.0,999.0,1.1,4.855,5191.0,0.0
364.0,999.0,-1.8,1.354,5099.1,0.0
84.0,999.0,-1.8,1.313,5099.1,0.0
147.0,999.0,1.1,4.857,5191.0,0.0
472.0,999.0,-1.7,0.748,4991.6,1.0
202.0,999.0,1.4,4.864,5228.1,0.0
153.0,999.0,1.1,4.856,5191.0,0.0
564.0,999.0,-0.1,4.191,5195.8,0.0
37.0,999.0,1.4,4.967,5228.1,0.0
230.0,999.0,1.4,4.865,5228.1,0.0
143.0,999.0,-1.8,1.354,5099.1,0.0
383.0,999.0,1.4,4.962,5228.1,1.0
9.0,999.0,1.4,4.959,5228.1,0.0
63.0,999.0,-0.1,4.021,5195.8,0.0
524.0,999.0,1.4,4.962,5228.1,0.0
293.0,999.0,-1.8,1.266,5099.1,0.0
118.0,999.0,1.1,4.855,5191.0,0.0
72.0,999.0,-3.4,0.735,5017.5,0.0
110.0,999.0,1.4,4.955,5228.1,0.0
123.0,999.0,1.4,4.963,5228.1,0.0
144.0,999.0,1.1,4.857,5191.0,0.0
256.0,999.0,1.4,4.963,5228.1,0.0
119.0,999.0,1.1,4.855,5191.0,0.0
644.0,999.0,1.4,4.961,5228.1,0.0
95.0,999.0,1.4,4.959,5228.1,0.0
207.0,999.0,-1.8,1.405,5099.1,0.0
154.0,999.0,1.1,4.858,5191.0,0.0
373.0,999.0,1.4,4.865,5228.1,0.0
440.0,999.0,1.1,4.857,5191.0,0.0
644.0,999.0,1.4,4.963,5228.1,0.0
202.0,999.0,1.1,4.855,5191.0,0.0
147.0,999.0,1.1,4.855,5191.0,0.0
43.0,999.0,1.4,4.961,5228.1,0.0
27.0,999.0,1.4,4.968,5228.1,0.0
110.0,999.0,-1.1,0.883,4963.6,0.0
103.0,999.0,1.4,4.962,5228.1,0.0
143.0,999.0,1.1,4.857,5191.0,0.0
124.0,999.0,1.4,4.964,5228.1,0.0
165.0,999.0,1.4,4.958,5228.1,0.0
280.0,999.0,1.1,4.856,5191.0,0.0
148.0,999.0,-1.7,0.904,4991.6,0.0
458.0,999.0,-1.8,1.334,5099.1,0.0
207.0,999.0,1.4,4.963,5228.1,0.0
24.0,999.0,1.4,4.962,5228.1,0.0
258.0,999.0,1.1,4.858,5191.0,0.0
40.0,999.0,1.4,4.967,5228.1,0.0
126.0,999.0,-0.1,4.12,5195.8,0.0
287.0,999.0,1.4,4.96,5228.1,0.0
128.0,3.0,-2.9,1.266,5076.2,0.0
138.0,999.0,-1.8,1.27,5099.1,0.0
277.0,999.0,1.4,4.965,5228.1,0.0
92.0,999.0,-2.9,0.849,5076.2,0.0
179.0,999.0,1.1,4.858,5191.0,0.0
85.0,999.0,-2.9,0.883,5076.2,0.0
236.0,999.0,-1.8,1.299,5099.1,0.0
420.0,999.0,-1.8,1.479,5099.1,0.0
97.0,999.0,1.4,4.958,5228.1,0.0
644.0,999.0,1.1,4.857,5191.0,1.0
251.0,999.0,-1.8,1.334,5099.1,0.0
249.0,999.0,-0.1,4.12,5195.8,0.0
644.0,999.0,-0.1,4.076,5195.8,0.0
188.0,999.0,1.4,4.967,5228.1,0.0
126.0,999.0,1.1,4.857,5191.0,0.0
315.0,999.0,-0.1,4.076,5195.8,0.0
129.0,999.0,1.4,4.968,5228.1,0.0
116.0,999.0,1.1,4.856,5191.0,0.0
142.0,999.0,1.4,4.968,5228.1,0.0
121.0,999.0,1.4,4.966,5228.1,0.0
410.0,999.0,1.4,4.958,5228.1,0.0
196.0,2.0,-1.8,1.365,5099.1,0.0
212.0,999.0,1.4,4.961,5228.1,0.0
152.0,999.0,-1.8,1.281,5099.1,0.0
95.0,999.0,-0.1,4.12,5195.8,0.0
64.0,999.0,-1.8,1.244,5099.1,0.0
106.0,999.0,-1.8,1.334,5099.1,0.0
204.0,999.0,1.4,4.968,5228.1,0.0
353.0,999.0,1.4,4.962,5228.1,0.0
128.0,6.0,-1.8,0.645,5008.7,0.0
277.0,999.0,-3.4,0.781,5017.5,0.0
